날짜,"설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대한민국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 러시아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 튀르키예","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 브라질","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 태국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 미국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 독일","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 베트남","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 인도",참고사항
2025년 1월 26일,"1,776","1,384",97,11,27,5,44,8,9,10,
2025년 1월 27일,"1,751","1,352",69,16,11,6,31,15,7,27,
2025년 1월 28일,"1,778","1,388",64,17,17,4,34,7,6,18,
2025년 1월 29일,"1,749","1,365",54,9,10,10,26,15,6,68,
2025년 1월 30일,"1,757","1,383",62,4,12,12,24,2,11,44,
2025년 1월 31일,"1,770","1,391",54,9,16,13,17,11,15,28,
2025년 2월 1일,"1,754","1,382",54,18,12,3,14,15,9,18,
2025년 2월 2일,"1,782","1,402",68,13,8,4,36,7,8,17,
2025년 2월 3일,"1,792","1,428",39,24,11,11,21,8,8,22,
2025년 2월 4일,"1,827","1,436",92,10,8,4,27,4,19,24,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"1,842","1,470",79,5,15,9,28,11,4,16,
2025년 2월 6일,"1,853","1,469",58,17,14,5,21,10,8,30,
2025년 2월 7일,"1,884","1,504",54,11,12,8,23,6,3,20,
2025년 2월 8일,"1,877","1,494",86,7,13,10,22,5,2,8,
2025년 2월 9일,"1,875","1,498",71,11,19,10,49,4,3,17,
2025년 2월 10일,"1,893","1,494",62,16,18,6,26,3,1,11,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"1,905","1,518",56,11,11,11,29,10,6,16,
2025년 2월 12일,"1,922","1,544",48,14,19,18,42,6,5,6,
2025년 2월 13일,"1,944","1,556",44,20,25,22,38,6,5,18,
2025년 2월 14일,"1,959","1,578",73,8,15,37,32,9,4,10,
2025년 2월 15일,"1,928","1,569",74,4,16,21,25,8,4,19,
2025년 2월 16일,"1,962","1,570",54,7,16,17,59,13,5,11,
2025년 2월 17일,"1,985","1,592",54,7,8,41,43,6,3,14,
2025년 2월 18일,"1,984","1,591",49,9,20,28,47,9,7,27,
2025년 2월 19일,"2,009","1,610",43,4,14,14,27,16,3,19,
2025년 2월 20일,"2,012","1,630",54,10,11,14,36,6,6,20,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"2,037","1,662",50,9,12,12,34,6,5,22,
2025년 2월 22일,"2,048","1,669",75,8,21,10,28,6,4,16,
2025년 2월 23일,"2,053","1,664",46,25,24,18,17,14,13,12,
