날짜,설치한 사용자 수: Android 14,설치한 사용자 수: 설치한 사용자 수(Android 14),설치한 사용자 수: 동종 앱 중앙값(Android 14),설치한 사용자 수: Android 11,설치한 사용자 수: 설치한 사용자 수(Android 11),설치한 사용자 수: 동종 앱 중앙값(Android 11),설치한 사용자 수: Android 13,설치한 사용자 수: 설치한 사용자 수(Android 13),설치한 사용자 수: 동종 앱 중앙값(Android 13),참고사항
2025년 1월 28일,52%,1.05천,36%,27%,546,11%,13%,257,22%,
2025년 1월 29일,52%,1.05천,36%,28%,554,11%,12%,249,22%,
2025년 1월 30일,52%,1.04천,36%,28%,557,11%,12%,251,22%,
2025년 1월 31일,52%,1.03천,36%,27%,540,11%,12%,248,22%,
2025년 2월 1일,52%,1.06천,36%,27%,550,11%,12%,252,22%,
2025년 2월 2일,52%,1.05천,36%,27%,548,11%,12%,249,22%,
2025년 2월 3일,52%,1.07천,36%,27%,545,11%,12%,247,22%,
2025년 2월 4일,52%,1.09천,36%,27%,560,11%,12%,256,22%,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,52%,1.11천,36%,26%,553,11%,13%,268,22%,
2025년 2월 6일,52%,1.11천,36%,25%,539,11%,12%,261,22%,
2025년 2월 7일,53%,1.14천,37%,25%,545,11%,12%,264,21%,
2025년 2월 8일,52%,1.14천,37%,25%,555,11%,12%,269,21%,
2025년 2월 9일,52%,1.13천,37%,26%,555,11%,12%,271,21%,
2025년 2월 10일,52%,1.13천,37%,25%,551,11%,13%,274,21%,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,52%,1.15천,37%,25%,553,11%,12%,267,21%,
2025년 2월 12일,53%,1.18천,37%,25%,551,11%,13%,279,21%,
2025년 2월 13일,53%,1.19천,37%,25%,565,11%,13%,284,21%,
2025년 2월 14일,52%,1.18천,37%,25%,558,11%,13%,286,21%,
2025년 2월 15일,53%,1.19천,37%,25%,552,11%,13%,285,21%,
2025년 2월 16일,52%,1.17천,37%,26%,581,11%,13%,287,21%,
2025년 2월 17일,52%,1.19천,37%,25%,569,11%,13%,288,21%,
2025년 2월 18일,52%,1.18천,37%,25%,568,11%,13%,284,21%,
2025년 2월 19일,53%,1.21천,37%,25%,572,11%,12%,276,21%,
2025년 2월 20일,52%,1.22천,37%,25%,577,11%,13%,297,21%,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,52%,1.22천,37%,24%,573,11%,13%,300,21%,
2025년 2월 22일,53%,1.25천,37%,24%,565,11%,12%,287,21%,
2025년 2월 23일,53%,1.25천,-,24%,563,-,13%,299,-,
