날짜,사용자 인식 비정상 종료 발생률: Android 14,사용자 인식 비정상 종료 발생률: 모든 버전,참고사항
2025년 1월 8일,-,1.85%,
2025년 1월 9일,-,1.85%,
2025년 1월 10일,-,1.85%,
2025년 1월 11일,-,1.85%,
2025년 1월 12일,-,1.85%,
2025년 1월 13일,-,1.85%,
2025년 1월 14일,-,1.85%,보고 데이터 변경: 2025년 1월 14일부터 Android vitals 데이터를 산출할 때 Android 9 이하 버전의 기기가 더 이상 사용되지 않습니다. 따라서 차트 데이터가 변경될 수 있습니다. 이 날짜 이전에 수집된 과거 데이터는 변경되지 않습니다. Google Play에서 스토어 등록정보에 Android 9 이하 기기에 대한 경고를 더 이상 표시하지 않습니다.
2025년 1월 15일,-,1.85%,
2025년 1월 16일,-,2.83%,
2025년 1월 17일,-,2.83%,
2025년 1월 18일,-,2.83%,
2025년 1월 19일,-,2.83%,
2025년 1월 20일,-,2.83%,
2025년 1월 21일,-,2.83%,
2025년 1월 22일,-,2.42%,
2025년 1월 23일,-,1.83%,
2025년 1월 24일,-,1.83%,
2025년 1월 25일,-,1.83%,
2025년 1월 26일,-,1.83%,
2025년 1월 27일,-,1.83%,
2025년 1월 28일,-,1.83%,
2025년 1월 29일,-,1.83%,
2025년 1월 30일,-,1.83%,
2025년 1월 31일,-,1.83%,
2025년 2월 1일,-,1.83%,
2025년 2월 2일,-,1.83%,
2025년 2월 3일,-,1.85%,
2025년 2월 4일,-,1.85%,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,1.69%,2.43%,
2025년 2월 6일,1.69%,2.83%,
2025년 2월 7일,1.69%,2.83%,
2025년 2월 8일,1.69%,3.96%,
2025년 2월 9일,1.69%,3.96%,
2025년 2월 10일,1.69%,3.74%,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,1.83%,3.69%,
2025년 2월 12일,1.83%,3.70%,
2025년 2월 13일,1.83%,3.50%,
2025년 2월 14일,1.83%,3.54%,
2025년 2월 15일,1.83%,3.54%,
2025년 2월 16일,1.83%,3.54%,
2025년 2월 17일,1.83%,3.54%,
2025년 2월 18일,1.83%,3.39%,
2025년 2월 19일,1.83%,3.52%,
2025년 2월 20일,1.83%,3.82%,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,1.83%,3.82%,
2025년 2월 22일,1.83%,3.82%,
2025년 2월 23일,1.83%,3.69%,
