날짜,일일 활성 기기: Android 14,일일 활성 기기: 일일 활성 기기(Android 14),일일 활성 기기: Android 13,일일 활성 기기: 일일 활성 기기(Android 13),일일 활성 기기: Android 11,일일 활성 기기: 일일 활성 기기(Android 11),참고사항
2024년 2월 26일,64.06%,1,6.25%,0,14.06%,0,버전 출시: 100%를 대상으로 40 (40) 출시 시작됨.
2024년 2월 27일,62.69%,1,5.97%,0,13.43%,0,
2024년 2월 28일,63.38%,1,5.63%,0,12.68%,0,
2024년 2월 29일,63.38%,1,5.63%,0,12.68%,0,버전 출시: 100%를 대상으로 41 (41) 출시 시작됨.
2024년 3월 1일,62.50%,1,5.56%,0,13.89%,0,
2024년 3월 2일,63.38%,1,2.82%,0,15.49%,0,
2024년 3월 3일,63.38%,1,2.82%,0,15.49%,0,
2024년 3월 4일,64.38%,1,2.74%,0,15.07%,0,
2024년 3월 5일,68.06%,1,-,-,13.89%,0,
2024년 3월 6일,68.00%,1,-,-,13.33%,0,
2024년 3월 7일,67.50%,1,-,-,13.75%,0,버전 출시: 100%를 대상으로 42 (42) 출시 시작됨.
2024년 3월 8일,67.07%,1,-,-,14.63%,0,
2024년 3월 9일,67.86%,2,-,-,14.29%,0,
2024년 3월 10일,65.56%,2,1.11%,0,15.56%,0,
2024년 3월 11일,65.22%,2,1.09%,0,15.22%,0,
2024년 3월 12일,63.83%,2,1.06%,0,17.02%,0,버전 출시: 100%를 대상으로 43 (43) 출시 시작됨.
2024년 3월 13일,62.63%,2,1.01%,0,18.18%,0,버전 출시: 100%를 대상으로 44 (44) 출시 시작됨.
2024년 3월 14일,64.00%,2,1.00%,0,18.00%,0,
2024년 3월 15일,63.73%,2,0.98%,0,17.65%,0,버전 출시: 100%를 대상으로 45 (45) 출시 시작됨.
2024년 3월 16일,63.73%,2,0.98%,0,17.65%,0,
2024년 3월 17일,62.50%,2,0.96%,0,18.27%,0,버전 출시: 100%를 대상으로 46 (46) 출시 시작됨.
2024년 3월 18일,61.68%,2,0.93%,0,18.69%,0,버전 출시: 100%를 대상으로 47 (47) 출시 시작됨.
2024년 3월 19일,61.11%,2,0.93%,0,17.59%,0,
2024년 3월 20일,60.78%,2,0.98%,0,16.67%,0,
2024년 3월 21일,62.89%,2,1.03%,0,15.46%,0,
