날짜,"Google Play 평점 (구간별, 일별): 모든 국가/지역","Google Play 평점 (구간별, 일별): 대한민국",참고사항
2025년 1월 26일,2.94,2.67,
2025년 1월 27일,2.94,2.67,
2025년 1월 28일,2.94,2.67,
2025년 1월 29일,2.94,2.67,
2025년 1월 30일,2.94,2.67,
2025년 1월 31일,2.94,2.67,
2025년 2월 1일,2.94,2.67,
2025년 2월 2일,2.89,2.63,
2025년 2월 3일,2.89,2.63,
2025년 2월 4일,2.89,2.63,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,2.89,2.63,
2025년 2월 6일,2.8,2.53,
2025년 2월 7일,2.8,2.53,
2025년 2월 8일,2.71,2.53,
2025년 2월 9일,2.64,2.44,
2025년 2월 10일,2.64,2.44,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,2.64,2.44,
2025년 2월 12일,2.64,2.44,
2025년 2월 13일,2.64,2.44,
2025년 2월 14일,2.64,2.44,
2025년 2월 15일,2.64,2.44,
2025년 2월 16일,2.64,2.44,
2025년 2월 17일,2.64,2.44,
2025년 2월 18일,2.64,2.44,
2025년 2월 19일,2.7,2.53,
2025년 2월 20일,2.7,2.53,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,2.7,2.53,
2025년 2월 22일,2.7,2.53,
2025년 2월 23일,2.79,2.65,
2025년 2월 24일,2.79,2.65,
