날짜,"기기 내 앱 크기(설치 시) (구간별, 일별): 모든 ABI의 중앙값","기기 내 앱 크기(설치 시) (구간별, 일별): arm64-v8a","기기 내 앱 크기(설치 시) (구간별, 일별): armeabi-v7a",참고사항
2025년 2월 4일,1.08GB,1.09GB,1.07GB,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,1.08GB,1.09GB,1.07GB,
2025년 2월 6일,1.08GB,1.09GB,1.07GB,
2025년 2월 7일,1.08GB,1.09GB,1.07GB,
2025년 2월 8일,1.08GB,1.09GB,1.07GB,
2025년 2월 9일,1.08GB,1.09GB,1.07GB,
2025년 2월 10일,1.08GB,1.09GB,1.07GB,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,1.08GB,1.09GB,1.07GB,
2025년 2월 12일,1.08GB,1.09GB,1.07GB,
2025년 2월 13일,1.08GB,1.09GB,1.07GB,
2025년 2월 14일,1.08GB,1.09GB,1.07GB,
2025년 2월 15일,1.08GB,1.09GB,1.07GB,
2025년 2월 16일,1.08GB,1.09GB,1.07GB,
2025년 2월 17일,1.08GB,1.09GB,1.07GB,
2025년 2월 18일,1.08GB,1.09GB,1.07GB,
2025년 2월 19일,1.08GB,1.09GB,1.07GB,
2025년 2월 20일,1.08GB,1.09GB,1.07GB,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,1.08GB,1.09GB,1.07GB,
2025년 2월 22일,1.08GB,1.09GB,1.07GB,
2025년 2월 23일,1.08GB,1.09GB,1.07GB,
2025년 2월 24일,1.08GB,1.09GB,1.07GB,
