날짜,기기 스토어 등록정보 노출수: Android 14,기기 스토어 등록정보 노출수: 기기 스토어 등록정보 노출수(Android 14),기기 스토어 등록정보 노출수: Android 13,기기 스토어 등록정보 노출수: 기기 스토어 등록정보 노출수(Android 13),기기 스토어 등록정보 노출수: Android 11,기기 스토어 등록정보 노출수: 기기 스토어 등록정보 노출수(Android 11),참고사항
2024년 2월 26일,48.15%,13,14.81%,4,14.81%,4,버전 출시: 100%를 대상으로 40 (40) 출시 시작됨.
2024년 2월 27일,48.15%,13,14.81%,4,14.81%,4,
2024년 2월 28일,48.15%,13,14.81%,4,14.81%,4,
2024년 2월 29일,50.00%,14,14.29%,4,14.29%,4,버전 출시: 100%를 대상으로 41 (41) 출시 시작됨.
2024년 3월 1일,50.00%,14,14.29%,4,14.29%,4,
2024년 3월 2일,50.00%,15,13.33%,4,16.67%,5,
2024년 3월 3일,46.43%,13,14.29%,4,17.86%,5,
2024년 3월 4일,46.43%,13,14.29%,4,17.86%,5,
2024년 3월 5일,51.85%,14,11.11%,3,14.81%,4,
2024년 3월 6일,51.85%,14,11.11%,3,14.81%,4,
2024년 3월 7일,48.28%,14,13.79%,4,13.79%,4,버전 출시: 100%를 대상으로 42 (42) 출시 시작됨.
2024년 3월 8일,46.43%,13,14.29%,4,14.29%,4,
2024년 3월 9일,44.83%,13,13.79%,4,13.79%,4,
2024년 3월 10일,44.83%,13,13.79%,4,13.79%,4,
2024년 3월 11일,43.33%,13,13.33%,4,13.33%,4,
2024년 3월 12일,45.16%,14,12.90%,4,12.90%,4,버전 출시: 100%를 대상으로 43 (43) 출시 시작됨.
2024년 3월 13일,44.12%,15,14.71%,5,14.71%,5,버전 출시: 100%를 대상으로 44 (44) 출시 시작됨.
2024년 3월 14일,46.88%,15,15.63%,5,12.50%,4,
2024년 3월 15일,43.75%,14,15.63%,5,12.50%,4,버전 출시: 100%를 대상으로 45 (45) 출시 시작됨.
2024년 3월 16일,43.75%,14,15.63%,5,12.50%,4,
2024년 3월 17일,45.16%,14,16.13%,5,9.68%,3,버전 출시: 100%를 대상으로 46 (46) 출시 시작됨.
2024년 3월 18일,43.75%,14,15.63%,5,9.38%,3,버전 출시: 100%를 대상으로 47 (47) 출시 시작됨.
2024년 3월 19일,45.45%,15,15.15%,5,9.09%,3,
2024년 3월 20일,44.44%,12,18.52%,5,7.41%,2,
2024년 3월 21일,50.00%,13,15.38%,4,7.69%,2,
2024년 3월 22일,45.45%,10,13.64%,3,9.09%,2,
2024년 3월 23일,45.00%,9,10.00%,2,10.00%,2,
2024년 3월 24일,45.00%,9,10.00%,2,10.00%,2,
2024년 3월 25일,50.00%,11,9.09%,2,9.09%,2,
2024년 3월 26일,47.83%,11,13.04%,3,8.70%,2,
2024년 3월 27일,45.83%,11,12.50%,3,12.50%,3,
2024년 3월 28일,44.00%,11,16.00%,4,12.00%,3,
2024년 3월 29일,42.31%,11,19.23%,5,11.54%,3,
2024년 3월 30일,41.67%,10,20.83%,5,8.33%,2,
2024년 3월 31일,44.83%,13,17.24%,5,10.34%,3,
2024년 4월 1일,43.75%,14,15.63%,5,9.38%,3,
2024년 4월 2일,43.33%,13,16.67%,5,10.00%,3,버전 출시: 100%를 대상으로 49 (49) 출시 시작됨.
2024년 4월 3일,45.16%,14,16.13%,5,9.68%,3,
2024년 4월 4일,50.00%,15,13.33%,4,10.00%,3,
2024년 4월 5일,51.61%,16,12.90%,4,9.68%,3,
2024년 4월 6일,54.84%,17,12.90%,4,9.68%,3,
2024년 4월 7일,54.55%,18,12.12%,4,9.09%,3,
2024년 4월 8일,59.46%,22,10.81%,4,8.11%,3,
2024년 4월 9일,56.76%,21,13.51%,5,8.11%,3,버전 출시: 100%를 대상으로 50 (50) 출시 시작됨.
2024년 4월 10일,57.14%,20,11.43%,4,5.71%,2,
2024년 4월 11일,57.14%,20,11.43%,4,5.71%,2,
2024년 4월 12일,58.82%,20,11.76%,4,5.88%,2,버전 출시: 100%를 대상으로 52 (52) 출시 시작됨. 버전 출시: 100%를 대상으로 53 (53) 출시 시작됨.
2024년 4월 13일,58.82%,20,11.76%,4,5.88%,2,
2024년 4월 14일,60.00%,21,11.43%,4,5.71%,2,
2024년 4월 15일,61.76%,21,11.76%,4,5.88%,2,
2024년 4월 16일,59.38%,19,12.50%,4,6.25%,2,
2024년 4월 17일,58.06%,18,12.90%,4,6.45%,2,
2024년 4월 18일,58.62%,17,13.79%,4,6.90%,2,버전 출시: 100%를 대상으로 54 (54) 출시 시작됨.
2024년 4월 19일,58.06%,18,12.90%,4,6.45%,2,
2024년 4월 20일,58.06%,18,12.90%,4,6.45%,2,
2024년 4월 21일,52.78%,19,13.89%,5,5.56%,2,
2024년 4월 22일,48.57%,17,17.14%,6,5.71%,2,버전 출시: 100%를 대상으로 55 (55) 출시 시작됨.
2024년 4월 23일,52.78%,19,13.89%,5,5.56%,2,
2024년 4월 24일,56.41%,22,12.82%,5,2.56%,1,
2024년 4월 25일,56.76%,21,10.81%,4,2.70%,1,
2024년 4월 26일,60.53%,23,7.89%,3,2.63%,1,
2024년 4월 27일,58.97%,23,7.69%,3,2.56%,1,
2024년 4월 28일,58.82%,20,8.82%,3,-,-,
2024년 4월 29일,61.76%,21,8.82%,3,-,-,
2024년 4월 30일,61.76%,21,8.82%,3,-,-,
2024년 5월 1일,60.00%,21,8.57%,3,-,-,
2024년 5월 2일,57.14%,20,8.57%,3,-,-,
2024년 5월 3일,55.88%,19,8.82%,3,-,-,
2024년 5월 4일,54.29%,19,8.57%,3,-,-,
2024년 5월 5일,57.14%,20,8.57%,3,-,-,
2024년 5월 6일,53.33%,16,10.00%,3,-,-,
2024년 5월 7일,54.84%,17,9.68%,3,-,-,
2024년 5월 8일,58.06%,18,9.68%,3,-,-,
2024년 5월 9일,58.06%,18,9.68%,3,-,-,버전 출시: 100%를 대상으로 56 (56) 출시 시작됨.
2024년 5월 10일,59.38%,19,9.38%,3,-,-,
2024년 5월 11일,59.38%,19,9.38%,3,-,-,
2024년 5월 12일,59.38%,19,9.38%,3,-,-,
2024년 5월 13일,57.58%,19,9.09%,3,-,-,
2024년 5월 14일,57.58%,19,9.09%,3,-,-,
2024년 5월 15일,57.58%,19,9.09%,3,-,-,
2024년 5월 16일,57.58%,19,9.09%,3,-,-,
2024년 5월 17일,59.38%,19,9.38%,3,-,-,
2024년 5월 18일,60.61%,20,9.09%,3,-,-,
2024년 5월 19일,66.67%,20,6.67%,2,-,-,
2024년 5월 20일,67.74%,21,3.23%,1,-,-,
2024년 5월 21일,65.52%,19,3.45%,1,-,-,
2024년 5월 22일,65.38%,17,3.85%,1,-,-,
2024년 5월 23일,65.38%,17,3.85%,1,-,-,
2024년 5월 24일,62.50%,15,4.17%,1,-,-,
2024년 5월 25일,66.67%,16,4.17%,1,-,-,
2024년 5월 26일,61.54%,16,7.69%,2,-,-,
2024년 5월 27일,60.87%,14,8.70%,2,-,-,
2024년 5월 28일,60.87%,14,8.70%,2,-,-,
2024년 5월 29일,60.87%,14,8.70%,2,-,-,버전 출시: 100%를 대상으로 57 (57) 출시 시작됨. 버전 출시: 100%를 대상으로 58 (58) 출시 시작됨.
2024년 5월 30일,63.64%,14,9.09%,2,-,-,버전 출시: 100%를 대상으로 59 (59) 출시 시작됨.
2024년 5월 31일,63.64%,14,9.09%,2,-,-,
2024년 6월 1일,65.00%,13,10.00%,2,-,-,
2024년 6월 2일,57.89%,11,10.53%,2,-,-,
2024년 6월 3일,57.89%,11,10.53%,2,-,-,
2024년 6월 4일,58.82%,10,5.88%,1,-,-,
2024년 6월 5일,56.25%,9,6.25%,1,-,-,
