날짜,"기기 손실 (모든 기기, 모든 이벤트, 구간별, 일별): 모든 국가/지역","기기 손실 (모든 기기, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,6,6,
2025년 1월 27일,10,10,
2025년 1월 28일,6,6,
2025년 1월 29일,10,10,
2025년 1월 30일,8,8,
2025년 1월 31일,14,14,
2025년 2월 1일,6,6,
2025년 2월 2일,9,9,
2025년 2월 3일,7,7,
2025년 2월 4일,13,11,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,12,12,
2025년 2월 6일,13,12,
2025년 2월 7일,10,10,
2025년 2월 8일,10,10,
2025년 2월 9일,11,11,
2025년 2월 10일,10,10,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,20,19,
2025년 2월 12일,9,9,
2025년 2월 13일,12,12,
2025년 2월 14일,9,9,
2025년 2월 15일,13,13,
2025년 2월 16일,16,16,
2025년 2월 17일,14,14,
2025년 2월 18일,8,8,
2025년 2월 19일,9,9,
2025년 2월 20일,10,10,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,7,7,
2025년 2월 22일,14,14,
2025년 2월 23일,14,14,
2025년 2월 24일,8,8,
