날짜,"사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 획득 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,8,8,
2025년 1월 27일,7,7,
2025년 1월 28일,3,3,
2025년 1월 29일,6,6,
2025년 1월 30일,9,9,
2025년 1월 31일,10,10,
2025년 2월 1일,19,19,
2025년 2월 2일,12,12,
2025년 2월 3일,21,21,
2025년 2월 4일,33,31,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,43,43,
2025년 2월 6일,16,16,
2025년 2월 7일,21,21,
2025년 2월 8일,14,14,
2025년 2월 9일,14,14,
2025년 2월 10일,15,14,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,40,40,
2025년 2월 12일,21,21,
2025년 2월 13일,27,26,
2025년 2월 14일,17,17,
2025년 2월 15일,18,17,
2025년 2월 16일,13,12,
2025년 2월 17일,11,11,
2025년 2월 18일,22,22,
2025년 2월 19일,31,31,
2025년 2월 20일,24,24,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,17,17,
2025년 2월 22일,23,23,
2025년 2월 23일,17,17,
2025년 2월 24일,13,13,
