날짜,"사용자 손실 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","사용자 손실 (모든 사용자 수, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,4,4,
2025년 1월 27일,8,8,
2025년 1월 28일,5,5,
2025년 1월 29일,10,10,
2025년 1월 30일,7,7,
2025년 1월 31일,10,10,
2025년 2월 1일,8,8,
2025년 2월 2일,8,8,
2025년 2월 3일,6,6,
2025년 2월 4일,12,10,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,8,8,
2025년 2월 6일,11,11,
2025년 2월 7일,7,7,
2025년 2월 8일,10,10,
2025년 2월 9일,7,7,
2025년 2월 10일,5,5,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,17,16,
2025년 2월 12일,9,9,
2025년 2월 13일,10,10,
2025년 2월 14일,7,7,
2025년 2월 15일,10,10,
2025년 2월 16일,11,11,
2025년 2월 17일,9,9,
2025년 2월 18일,5,5,
2025년 2월 19일,7,7,
2025년 2월 20일,8,8,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,5,5,
2025년 2월 22일,8,8,
2025년 2월 23일,8,8,
2025년 2월 24일,7,7,
