날짜,"설치 이벤트 (모든 기기, 모든 이벤트, 구간별, 일별): 모든 국가/지역","설치 이벤트 (모든 기기, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,9,9,
2025년 1월 27일,8,8,
2025년 1월 28일,3,3,
2025년 1월 29일,5,5,
2025년 1월 30일,9,9,
2025년 1월 31일,12,12,
2025년 2월 1일,20,20,
2025년 2월 2일,17,17,
2025년 2월 3일,32,32,
2025년 2월 4일,47,45,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,53,53,
2025년 2월 6일,25,25,
2025년 2월 7일,27,27,
2025년 2월 8일,17,17,
2025년 2월 9일,20,20,
2025년 2월 10일,15,14,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,47,47,
2025년 2월 12일,25,25,
2025년 2월 13일,26,26,
2025년 2월 14일,22,22,
2025년 2월 15일,23,23,
2025년 2월 16일,16,16,
2025년 2월 17일,11,11,
2025년 2월 18일,25,25,
2025년 2월 19일,36,36,
2025년 2월 20일,25,25,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,19,19,
2025년 2월 22일,24,24,
2025년 2월 23일,19,19,
2025년 2월 24일,13,13,
