날짜,"설치한 사용자 수 (모든 기기, 순 기기, 구간별, 일별): 모든 국가/지역","설치한 사용자 수 (모든 기기, 순 기기, 구간별, 일별): 대한민국","설치한 사용자 수 (모든 기기, 순 기기, 구간별, 일별): 러시아","설치한 사용자 수 (모든 기기, 순 기기, 구간별, 일별): 튀르키예","설치한 사용자 수 (모든 기기, 순 기기, 구간별, 일별): 브라질",참고사항
2025년 1월 26일,"2,009","1,540",107,13,27,
2025년 1월 27일,"2,018","1,542",86,16,19,
2025년 1월 28일,"2,026","1,556",74,17,19,
2025년 1월 29일,"2,008","1,527",79,10,18,
2025년 1월 30일,"2,020","1,541",69,6,16,
2025년 1월 31일,"1,988","1,522",64,14,22,
2025년 2월 1일,"2,031","1,558",68,31,17,
2025년 2월 2일,"2,024","1,554",74,19,9,
2025년 2월 3일,"2,048","1,586",53,27,16,
2025년 2월 4일,"2,113","1,629",125,14,14,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"2,136","1,661",97,7,16,
2025년 2월 6일,"2,131","1,664",71,19,16,
2025년 2월 7일,"2,156","1,702",64,13,12,
2025년 2월 8일,"2,180","1,708",92,12,16,
2025년 2월 9일,"2,171","1,699",86,17,22,
2025년 2월 10일,"2,168","1,704",68,20,19,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"2,199","1,727",65,18,15,
2025년 2월 12일,"2,225","1,754",58,18,22,
2025년 2월 13일,"2,261","1,782",57,26,27,
2025년 2월 14일,"2,248","1,785",87,11,18,
2025년 2월 15일,"2,250","1,793",88,4,23,
2025년 2월 16일,"2,263","1,781",64,9,17,
2025년 2월 17일,"2,274","1,786",57,8,9,
2025년 2월 18일,"2,268","1,774",65,10,24,
2025년 2월 19일,"2,299","1,816",63,7,19,
2025년 2월 20일,"2,341","1,863",76,13,16,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"2,348","1,853",68,9,22,
2025년 2월 22일,"2,347","1,869",58,16,22,
2025년 2월 23일,"2,368","1,878",82,24,21,
