날짜,"설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,"1,776","1,384",
2025년 1월 27일,"1,751","1,352",
2025년 1월 28일,"1,778","1,388",
2025년 1월 29일,"1,749","1,365",
2025년 1월 30일,"1,757","1,383",
2025년 1월 31일,"1,770","1,391",
2025년 2월 1일,"1,754","1,382",
2025년 2월 2일,"1,782","1,402",
2025년 2월 3일,"1,792","1,428",
2025년 2월 4일,"1,827","1,436",버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"1,842","1,470",
2025년 2월 6일,"1,853","1,469",
2025년 2월 7일,"1,884","1,504",
2025년 2월 8일,"1,877","1,494",
2025년 2월 9일,"1,875","1,498",
2025년 2월 10일,"1,893","1,494",버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"1,905","1,518",
2025년 2월 12일,"1,922","1,544",
2025년 2월 13일,"1,944","1,556",
2025년 2월 14일,"1,959","1,578",
2025년 2월 15일,"1,928","1,569",
2025년 2월 16일,"1,962","1,570",
2025년 2월 17일,"1,985","1,592",
2025년 2월 18일,"1,984","1,591",
2025년 2월 19일,"2,009","1,610",
2025년 2월 20일,"2,012","1,630",버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"2,037","1,662",
2025년 2월 22일,"2,048","1,669",
2025년 2월 23일,"2,053","1,664",
