날짜,"설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대한민국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 러시아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 미국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대만","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 브라질","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 튀르키예","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 필리핀","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 이탈리아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 우크라이나",참고사항
2024년 2월 26일,"1,207",128,147,202,57,32,7,29,6,10,버전 출시: 100%를 대상으로 40 (40) 출시 시작됨.
2024년 2월 27일,"1,210",131,168,186,31,24,25,26,2,7,
2024년 2월 28일,"1,207",135,161,213,52,31,18,30,6,9,
2024년 2월 29일,"1,206",120,166,183,21,20,19,33,5,2,버전 출시: 100%를 대상으로 41 (41) 출시 시작됨.
2024년 3월 1일,"1,204",112,167,225,25,22,19,20,1,6,
2024년 3월 2일,"1,213",120,179,218,19,12,18,17,5,7,
2024년 3월 3일,"1,204",96,172,230,25,22,14,16,8,3,
2024년 3월 4일,"1,185",108,186,188,21,26,6,20,6,6,
2024년 3월 5일,"1,181",105,190,230,31,18,13,18,4,3,
2024년 3월 6일,"1,191",104,190,224,29,35,9,37,11,2,
2024년 3월 7일,"1,195",100,180,207,36,28,14,89,5,2,버전 출시: 100%를 대상으로 42 (42) 출시 시작됨.
2024년 3월 8일,"1,195",95,180,221,19,26,10,34,2,4,
2024년 3월 9일,"1,216",86,187,209,25,20,12,36,8,1,
2024년 3월 10일,"1,207",90,188,194,24,22,12,36,6,1,
2024년 3월 11일,"1,183",87,183,207,25,19,12,33,6,1,
2024년 3월 12일,"1,199",104,191,238,19,27,12,28,5,8,버전 출시: 100%를 대상으로 43 (43) 출시 시작됨.
2024년 3월 13일,"1,195",108,197,262,23,27,11,26,3,9,버전 출시: 100%를 대상으로 44 (44) 출시 시작됨.
2024년 3월 14일,"1,210",105,170,251,20,29,16,26,5,3,
2024년 3월 15일,"1,196",103,207,280,25,17,9,20,7,4,버전 출시: 100%를 대상으로 45 (45) 출시 시작됨.
2024년 3월 16일,"1,195",104,167,295,27,24,10,20,6,2,
2024년 3월 17일,"1,194",90,224,289,28,25,6,21,1,0,버전 출시: 100%를 대상으로 46 (46) 출시 시작됨.
2024년 3월 18일,"1,210",97,225,292,21,21,19,25,5,3,버전 출시: 100%를 대상으로 47 (47) 출시 시작됨.
2024년 3월 19일,"1,205",94,199,284,23,24,12,16,11,7,
2024년 3월 20일,"1,175",95,201,289,25,18,11,16,15,4,
2024년 3월 21일,"1,198",108,184,293,22,23,7,17,3,5,
2024년 3월 22일,"1,194",122,178,264,22,15,16,19,8,2,
2024년 3월 23일,"1,214",122,232,304,21,15,7,16,4,3,
2024년 3월 24일,"1,170",103,195,283,22,24,7,17,7,4,
2024년 3월 25일,"1,183",110,204,247,28,18,13,13,5,6,
2024년 3월 26일,"1,188",119,165,274,23,17,8,27,6,4,
2024년 3월 27일,"1,187",117,161,238,30,22,13,18,9,3,
2024년 3월 28일,"1,190",119,151,220,108,20,15,13,8,2,
2024년 3월 29일,"1,175",120,128,229,126,16,14,23,4,5,
2024년 3월 30일,"1,173",120,162,225,51,27,17,29,7,7,
2024년 3월 31일,"1,174",149,152,206,34,26,21,24,4,3,
2024년 4월 1일,"1,161",139,161,223,23,20,19,28,4,5,
2024년 4월 2일,"1,171",123,158,192,52,21,16,24,2,1,버전 출시: 100%를 대상으로 49 (49) 출시 시작됨.
2024년 4월 3일,"1,045",95,129,159,39,50,9,26,6,3,
2024년 4월 4일,974,121,112,176,30,34,10,24,17,1,
2024년 4월 5일,975,116,149,150,33,24,9,22,10,9,
2024년 4월 6일,920,113,108,208,14,26,9,16,13,7,
2024년 4월 7일,920,104,127,163,7,23,12,10,11,4,
2024년 4월 8일,930,110,140,162,16,36,5,18,1,1,
2024년 4월 9일,924,153,96,180,17,31,11,11,5,5,버전 출시: 100%를 대상으로 50 (50) 출시 시작됨.
2024년 4월 10일,935,122,128,153,20,29,7,8,10,6,
