날짜,"설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대한민국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 러시아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 미국","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 대만","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 브라질","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 튀르키예","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 필리핀","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 이탈리아","설치한 사용자 수 (모든 사용자 수, 순 사용자, 구간별, 일별): 우크라이나",참고사항
2025년 1월 26일,"1,776","1,384",97,44,12,27,11,8,1,9,
2025년 1월 27일,"1,751","1,352",69,31,16,11,16,5,14,3,
2025년 1월 28일,"1,778","1,388",64,34,7,17,17,6,12,6,
2025년 1월 29일,"1,749","1,365",54,26,6,10,9,6,9,8,
2025년 1월 30일,"1,757","1,383",62,24,8,12,4,4,10,5,
2025년 1월 31일,"1,770","1,391",54,17,10,16,9,5,8,7,
2025년 2월 1일,"1,754","1,382",54,14,10,12,18,5,15,6,
2025년 2월 2일,"1,782","1,402",68,36,5,8,13,10,12,10,
2025년 2월 3일,"1,792","1,428",39,21,10,11,24,3,12,11,
2025년 2월 4일,"1,827","1,436",92,27,8,8,10,8,17,2,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"1,842","1,470",79,28,12,15,5,10,13,3,
2025년 2월 6일,"1,853","1,469",58,21,12,14,17,21,7,6,
2025년 2월 7일,"1,884","1,504",54,23,14,12,11,24,16,6,
2025년 2월 8일,"1,877","1,494",86,22,9,13,7,6,11,2,
2025년 2월 9일,"1,875","1,498",71,49,8,19,11,18,8,9,
2025년 2월 10일,"1,893","1,494",62,26,22,18,16,15,14,12,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"1,905","1,518",56,29,6,11,11,19,13,8,
2025년 2월 12일,"1,922","1,544",48,42,3,19,14,7,16,6,
2025년 2월 13일,"1,944","1,556",44,38,6,25,20,11,5,5,
2025년 2월 14일,"1,959","1,578",73,32,4,15,8,3,4,0,
2025년 2월 15일,"1,928","1,569",74,25,13,16,4,4,4,3,
2025년 2월 16일,"1,962","1,570",54,59,1,16,7,6,15,9,
2025년 2월 17일,"1,985","1,592",54,43,12,8,7,6,13,6,
2025년 2월 18일,"1,984","1,591",49,47,4,20,9,8,27,9,
2025년 2월 19일,"2,009","1,610",43,27,8,14,4,7,17,15,
2025년 2월 20일,"2,012","1,630",54,36,7,11,10,4,15,5,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"2,037","1,662",50,34,6,12,9,4,14,4,
2025년 2월 22일,"2,048","1,669",75,28,8,21,8,8,10,2,
2025년 2월 23일,"2,053","1,664",46,17,9,24,25,9,12,9,
