날짜,"스토어 등록정보 방문자 (새 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","스토어 등록정보 방문자 (새 사용자 수, 순 사용자, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,13,13,
2025년 1월 27일,11,11,
2025년 1월 28일,10,10,
2025년 1월 29일,14,14,
2025년 1월 30일,25,24,
2025년 1월 31일,19,19,
2025년 2월 1일,33,32,
2025년 2월 2일,31,31,
2025년 2월 3일,37,37,
2025년 2월 4일,57,56,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,66,64,
2025년 2월 6일,28,27,
2025년 2월 7일,38,36,
2025년 2월 8일,27,27,
2025년 2월 9일,34,34,
2025년 2월 10일,30,30,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,47,44,
2025년 2월 12일,44,43,
2025년 2월 13일,37,37,
2025년 2월 14일,21,21,
2025년 2월 15일,24,24,
2025년 2월 16일,24,24,
2025년 2월 17일,31,30,
2025년 2월 18일,42,42,
2025년 2월 19일,54,53,
2025년 2월 20일,36,36,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,33,33,
