날짜,"스토어 등록정보 획득 (새 사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","스토어 등록정보 획득 (새 사용자 수, 순 사용자, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,6,6,
2025년 1월 27일,2,2,
2025년 1월 28일,3,3,
2025년 1월 29일,3,3,
2025년 1월 30일,9,9,
2025년 1월 31일,8,8,
2025년 2월 1일,19,19,
2025년 2월 2일,10,10,
2025년 2월 3일,16,16,
2025년 2월 4일,29,29,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,39,39,
2025년 2월 6일,14,14,
2025년 2월 7일,16,15,
2025년 2월 8일,15,15,
2025년 2월 9일,12,12,
2025년 2월 10일,13,13,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,30,30,
2025년 2월 12일,18,18,
2025년 2월 13일,21,21,
2025년 2월 14일,12,12,
2025년 2월 15일,11,11,
2025년 2월 16일,9,9,
2025년 2월 17일,8,8,
2025년 2월 18일,20,20,
2025년 2월 19일,28,28,
2025년 2월 20일,19,19,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,16,16,
