날짜,"스토어 등록정보 획득 (재사용자 수, 순 사용자, 구간별, 일별): 모든 국가/지역","스토어 등록정보 획득 (재사용자 수, 순 사용자, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,0,0,
2025년 1월 27일,1,1,
2025년 1월 28일,0,0,
2025년 1월 29일,0,0,
2025년 1월 30일,0,0,
2025년 1월 31일,1,1,
2025년 2월 1일,2,2,
2025년 2월 2일,0,0,
2025년 2월 3일,2,2,
2025년 2월 4일,1,1,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,0,0,
2025년 2월 6일,0,0,
2025년 2월 7일,0,0,
2025년 2월 8일,1,1,
2025년 2월 9일,0,0,
2025년 2월 10일,0,0,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,5,5,
2025년 2월 12일,1,1,
2025년 2월 13일,2,2,
2025년 2월 14일,1,1,
2025년 2월 15일,2,2,
2025년 2월 16일,1,1,
2025년 2월 17일,1,1,
2025년 2월 18일,1,1,
2025년 2월 19일,1,1,
2025년 2월 20일,1,1,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,1,1,
