날짜,"기기 획득 (새 기기 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","기기 획득 (새 기기 수, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,7,7,
2025년 1월 27일,4,4,
2025년 1월 28일,3,3,
2025년 1월 29일,5,5,
2025년 1월 30일,9,9,
2025년 1월 31일,10,10,
2025년 2월 1일,18,18,
2025년 2월 2일,16,16,
2025년 2월 3일,30,30,
2025년 2월 4일,44,43,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,51,51,
2025년 2월 6일,23,23,
2025년 2월 7일,26,26,
2025년 2월 8일,15,15,
2025년 2월 9일,19,19,
2025년 2월 10일,15,14,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,36,36,
2025년 2월 12일,21,21,
2025년 2월 13일,23,23,
2025년 2월 14일,20,20,
2025년 2월 15일,17,17,
2025년 2월 16일,15,15,
2025년 2월 17일,9,9,
2025년 2월 18일,24,24,
2025년 2월 19일,35,35,
2025년 2월 20일,21,21,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,18,18,
2025년 2월 22일,22,22,
2025년 2월 23일,16,16,
2025년 2월 24일,11,11,
