날짜,"앱 다운로드 크기 (구간별, 일별): 모든 ABI의 중앙값","앱 다운로드 크기 (구간별, 일별): arm64-v8a","앱 다운로드 크기 (구간별, 일별): armeabi-v7a",참고사항
2025년 2월 4일,795MB,797MB,795MB,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,795MB,797MB,795MB,
2025년 2월 6일,795MB,797MB,795MB,
2025년 2월 7일,795MB,797MB,795MB,
2025년 2월 8일,795MB,797MB,795MB,
2025년 2월 9일,795MB,797MB,795MB,
2025년 2월 10일,795MB,797MB,795MB,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,795MB,797MB,795MB,
2025년 2월 12일,795MB,797MB,795MB,
2025년 2월 13일,795MB,797MB,795MB,
2025년 2월 14일,795MB,797MB,795MB,
2025년 2월 15일,795MB,797MB,795MB,
2025년 2월 16일,795MB,797MB,795MB,
2025년 2월 17일,795MB,797MB,795MB,
2025년 2월 18일,795MB,797MB,795MB,
2025년 2월 19일,795MB,797MB,795MB,
2025년 2월 20일,795MB,797MB,795MB,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,795MB,797MB,795MB,
2025년 2월 22일,795MB,797MB,795MB,
2025년 2월 23일,795MB,797MB,795MB,
2025년 2월 24일,795MB,797MB,795MB,
