날짜,"월간 활성 사용자(MAU) (순 사용자, 구간별, 일별): 모든 국가/지역","월간 활성 사용자(MAU) (순 사용자, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,798,-,
2025년 1월 27일,889,-,
2025년 1월 28일,878,-,
2025년 1월 29일,947,-,
2025년 1월 30일,785,-,
2025년 1월 31일,883,-,
2025년 2월 1일,"1,006",-,
2025년 2월 2일,-,-,
2025년 2월 3일,788,-,
2025년 2월 4일,886,-,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,"1,058",-,
2025년 2월 6일,983,-,
2025년 2월 7일,921,-,
2025년 2월 8일,989,872,
2025년 2월 9일,904,-,
2025년 2월 10일,996,791,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,"1,094",-,
2025년 2월 12일,"1,006",798,
2025년 2월 13일,939,812,
2025년 2월 14일,834,-,
2025년 2월 15일,985,-,
2025년 2월 16일,"1,038",-,
2025년 2월 17일,989,-,
