날짜,"일일 활성 기기 (순 기기, 구간별, 일별): 모든 국가/지역","일일 활성 기기 (순 기기, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,68,63,
2025년 1월 27일,60,59,
2025년 1월 28일,47,44,
2025년 1월 29일,39,35,
2025년 1월 30일,52,51,
2025년 1월 31일,59,56,
2025년 2월 1일,58,50,
2025년 2월 2일,56,48,
2025년 2월 3일,76,69,
2025년 2월 4일,82,64,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,115,102,
2025년 2월 6일,97,88,
2025년 2월 7일,88,78,
2025년 2월 8일,67,58,
2025년 2월 9일,62,61,
2025년 2월 10일,82,72,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,113,105,
2025년 2월 12일,88,79,
2025년 2월 13일,97,86,
2025년 2월 14일,83,77,
2025년 2월 15일,70,64,
2025년 2월 16일,61,57,
2025년 2월 17일,67,66,
2025년 2월 18일,94,92,
