날짜,"기기 획득 (재사용 기기 수, 모든 이벤트, 구간별, 일별): 모든 국가/지역","기기 획득 (재사용 기기 수, 모든 이벤트, 구간별, 일별): 대한민국",참고사항
2025년 1월 26일,4,3,
2025년 1월 27일,5,5,
2025년 1월 28일,0,0,
2025년 1월 29일,4,4,
2025년 1월 30일,0,0,
2025년 1월 31일,2,2,
2025년 2월 1일,7,6,
2025년 2월 2일,1,1,
2025년 2월 3일,2,2,
2025년 2월 4일,6,3,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,3,3,
2025년 2월 6일,2,2,
2025년 2월 7일,1,1,
2025년 2월 8일,3,3,
2025년 2월 9일,1,1,
2025년 2월 10일,1,1,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,11,11,
2025년 2월 12일,4,4,
2025년 2월 13일,8,7,
2025년 2월 14일,5,5,
2025년 2월 15일,8,7,
2025년 2월 16일,4,2,
2025년 2월 17일,2,2,
2025년 2월 18일,3,3,
2025년 2월 19일,1,1,
2025년 2월 20일,5,5,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,2,2,
2025년 2월 22일,5,5,
2025년 2월 23일,5,5,
2025년 2월 24일,4,4,
