날짜,"총 수익 (구간별, 일별): 모든 국가/지역","총 수익 (구간별, 일별): 대한민국",참고사항
2025년 1월 26일,KRW 0,KRW 0,
2025년 1월 27일,KRW 0,KRW 0,
2025년 1월 28일,KRW 0,KRW 0,
2025년 1월 29일,KRW 0,KRW 0,
2025년 1월 30일,KRW 0,KRW 0,
2025년 1월 31일,KRW 0,KRW 0,
2025년 2월 1일,KRW 0,KRW 0,
2025년 2월 2일,KRW 0,KRW 0,
2025년 2월 3일,KRW 0,KRW 0,
2025년 2월 4일,KRW 0,KRW 0,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,KRW 0,KRW 0,
2025년 2월 6일,KRW 0,KRW 0,
2025년 2월 7일,KRW 0,KRW 0,
2025년 2월 8일,KRW 0,KRW 0,
2025년 2월 9일,KRW 0,KRW 0,
2025년 2월 10일,KRW 0,KRW 0,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,KRW 0,KRW 0,
2025년 2월 12일,"KRW 44,000","KRW 44,000",
2025년 2월 13일,KRW 0,KRW 0,
2025년 2월 14일,KRW 0,KRW 0,
2025년 2월 15일,KRW 0,KRW 0,
2025년 2월 16일,"KRW 89,000","KRW 89,000",
2025년 2월 17일,"KRW 8,900","KRW 8,900",
2025년 2월 18일,KRW 0,KRW 0,
2025년 2월 19일,KRW 0,KRW 0,
2025년 2월 20일,"KRW 8,900","KRW 8,900",버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,"KRW 8,900","KRW 8,900",
2025년 2월 22일,KRW 0,KRW 0,
2025년 2월 23일,KRW 0,KRW 0,
