날짜,"평균 평점 (구간별, 일별): 모든 국가/지역","평균 평점 (구간별, 일별): 대한민국",참고사항
2025년 1월 26일,-,-,
2025년 1월 27일,3,3,
2025년 1월 28일,-,-,
2025년 1월 29일,-,-,
2025년 1월 30일,-,-,
2025년 1월 31일,-,-,
2025년 2월 1일,-,-,
2025년 2월 2일,2,2,
2025년 2월 3일,-,-,
2025년 2월 4일,-,-,버전 출시: 100%를 대상으로 92 (72.13) 출시 시작됨.
2025년 2월 5일,1,1,
2025년 2월 6일,-,-,
2025년 2월 7일,-,-,
2025년 2월 8일,1,1,
2025년 2월 9일,1,1,
2025년 2월 10일,-,-,버전 출시: 100%를 대상으로 93 (72.14) 출시 시작됨.
2025년 2월 11일,-,-,
2025년 2월 12일,-,-,
2025년 2월 13일,-,-,
2025년 2월 14일,-,-,
2025년 2월 15일,-,-,
2025년 2월 16일,-,-,
2025년 2월 17일,-,-,
2025년 2월 18일,-,-,
2025년 2월 19일,4,4,
2025년 2월 20일,-,-,버전 출시: 100%를 대상으로 94 (72.15) 출시 시작됨.
2025년 2월 21일,-,-,
2025년 2월 22일,5,5,
2025년 2월 23일,-,-,
